asset_id,district,feeder_type,customer_mix,asset_age_years,capacity_kva,avg_load_pct_90d,max_load_pct_90d,outage_count_12m,inspection_score,oil_temperature_c,critical_customers_nearby,maintenance_cost_estimate,failure_next_90d
TR00001,Bang Kapi,Underground,Mixed,22,2000,78,110,4,53,75,7,133523,1
TR00002,Lat Phrao,Mixed,Government,12,2000,72,99,4,30,78,4,136662,1
TR00003,Khlong Toei,Overhead,Commercial,19,250,64,77,1,58,82,7,122129,0
TR00004,Phaya Thai,Mixed,Mixed,8,750,63,60,1,70,76,5,115055,0
TR00005,Thon Buri,Underground,Commercial,19,1000,73,103,4,52,69,5,108585,1
TR00006,Khlong Toei,Mixed,Residential,8,500,67,82,0,64,82,4,82091,0
TR00007,Lat Phrao,Overhead,Commercial,12,1500,66,80,0,74,77,0,128723,0
TR00008,Din Daeng,Overhead,Industrial,17,1000,61,80,2,37,75,16,77475,0
TR00009,Khlong Toei,Overhead,Government,23,1000,74,77,3,44,75,4,143796,0
TR00010,Phaya Thai,Mixed,Government,4,2000,69,91,0,72,70,8,70324,0
TR00011,Bang Khen,Mixed,Mixed,18,1500,91,110,5,41,68,4,140670,0
TR00012,Khlong Toei,Underground,Residential,15,750,78,104,2,63,74,3,135747,0
TR00013,Bang Kho Laem,Underground,Mixed,14,1500,84,100,4,67,69,2,150932,0
TR00014,Phaya Thai,Mixed,Residential,7,1500,69,99,2,74,80,8,111512,0
TR00015,Khlong Toei,Underground,Mixed,3,2000,65,70,1,54,80,6,77030,0
TR00016,Khlong Toei,Underground,Commercial,15,250,61,98,4,56,75,0,126780,0
TR00017,Phaya Thai,Mixed,Industrial,4,1500,58,84,0,61,62,3,73634,0
TR00018,Bang Kho Laem,Mixed,Mixed,14,1500,65,82,1,74,72,1,91252,0
TR00019,Thon Buri,Underground,Government,25,500,81,92,1,77,79,0,135627,0
TR00020,Din Daeng,Overhead,Residential,20,2000,71,83,4,45,83,4,152062,1
TR00021,Bang Kapi,Overhead,Industrial,18,750,83,116,2,60,72,10,166130,1
TR00022,Thon Buri,Underground,Residential,12,750,71,74,0,70,79,11,112403,0
TR00023,Din Daeng,Overhead,Industrial,9,2000,72,90,0,70,80,1,82508,0
TR00024,Khlong Toei,Underground,Industrial,7,2000,78,84,1,80,72,8,66817,0
TR00025,Bang Khen,Underground,Government,16,2000,83,111,5,61,74,9,130875,0
TR00026,Phaya Thai,Overhead,Mixed,7,750,74,79,0,86,79,4,79186,0
TR00027,Khlong Toei,Overhead,Industrial,14,2000,86,103,1,70,84,2,105165,0
TR00028,Thon Buri,Mixed,Government,5,1000,64,70,0,75,70,0,113427,0
